代號,現價,漲幅%,量能倍率,多頭排列,突破意圖,score
8048.TWO,61.9,9.95,3.25,✅,🔥 高,13.201629404673408
3632.TWO,10.2,9.91,2.98,✅,🔥 高,12.896326177572742
2316.TW,112.5,9.76,2.93,✅,🔥 高,12.685833533683414
3357.TWO,183.5,9.88,2.73,✅,🔥 高,12.608130428777951
1717.TW,69.0,9.87,2.63,✅,🔥 高,12.507102803528992
2755.TWO,136.0,9.68,2.79,✅,🔥 高,12.464337087251753
3693.TWO,454.0,9.93,2.26,✅,🔥 高,12.186004340964796
8183.TWO,40.65,8.11,3.98,✅,🔥 高,12.095819340490845
6461.TWO,23.9,9.89,2.2,✅,🔥 高,12.08857420990608
4577.TWO,86.4,9.78,2.16,✅,🔥 高,11.939395896750854
2338.TW,49.2,9.94,1.92,✅,🔥 高,11.867724651951756
1735.TW,18.85,9.91,1.95,✅,🔥 高,11.85857187037041
1466.TW,19.95,9.92,1.93,✅,🔥 高,11.849282721694314
2406.TW,33.05,9.98,1.77,✅,🔥 高,11.751901465544671
4946.TWO,160.0,9.97,1.73,✅,🔥 高,11.699933693933204
3147.TWO,181.5,10.0,1.7,✅,🔥 高,11.69770145911888
6546.TWO,77.0,10.0,1.59,✅,🔥 高,11.58780763026423
4768.TWO,465.0,9.93,1.64,✅,🔥 高,11.571756628616273
2489.TW,39.6,10.0,1.49,✅,🔥 高,11.485822748373174
8289.TWO,35.25,9.98,1.45,✅,🔥 高,11.438263900000946
